State,Year,Quarter,Entity_type,Registered_users,District&pincode.1,id
Andhra Pradesh,2018,Q3,district,314899,Prakasam,28
Andhra Pradesh,2018,Q3,pincode,65157,517501,28
Andhra Pradesh,2018,Q3,pincode,54849,517507,28
Andhra Pradesh,2018,Q3,pincode,52259,530016,28
Andhra Pradesh,2018,Q3,pincode,51449,515001,28
Andhra Pradesh,2018,Q3,pincode,46691,516001,28
Andhra Pradesh,2018,Q3,pincode,45145,518002,28
Andhra Pradesh,2018,Q3,pincode,41963,516360,28
Andhra Pradesh,2018,Q3,pincode,40580,530026,28
Andhra Pradesh,2018,Q3,pincode,38918,520010,28
Andhra Pradesh,2018,Q3,pincode,37559,524002,28
Andhra Pradesh,2018,Q4,district,978288,Visakhapatnam,28
Andhra Pradesh,2018,Q4,district,694455,East Godavari,28
Andhra Pradesh,2018,Q4,district,682479,Krishna,28
Andhra Pradesh,2018,Q4,district,665280,Chittoor,28
Andhra Pradesh,2018,Q4,district,659552,Guntur,28
Andhra Pradesh,2018,Q4,district,510892,Anantapur,28
Andhra Pradesh,2018,Q4,district,498582,Kurnool,28
Andhra Pradesh,2018,Q4,district,435668,West Godavari,28
Andhra Pradesh,2018,Q4,district,407495,Spsr Nellore,28
Andhra Pradesh,2018,Q4,district,394962,Prakasam,28
Andhra Pradesh,2018,Q4,pincode,82873,517501,28
Andhra Pradesh,2018,Q4,pincode,70421,517507,28
Andhra Pradesh,2018,Q4,pincode,65549,530016,28
Andhra Pradesh,2018,Q4,pincode,63576,515001,28
Andhra Pradesh,2018,Q4,pincode,58028,516001,28
Andhra Pradesh,2018,Q4,pincode,55735,518002,28
Andhra Pradesh,2018,Q4,pincode,52058,516360,28
Andhra Pradesh,2018,Q4,pincode,51900,530026,28
Andhra Pradesh,2018,Q4,pincode,48991,520010,28
Andhra Pradesh,2018,Q4,pincode,46616,524002,28
Andhra Pradesh,2019,Q1,district,1174517,Visakhapatnam,28
Andhra Pradesh,2019,Q1,district,839277,East Godavari,28
Andhra Pradesh,2019,Q1,district,833694,Krishna,28
Andhra Pradesh,2019,Q1,district,812314,Chittoor,28
Andhra Pradesh,2019,Q1,district,802394,Guntur,28
Andhra Pradesh,2019,Q1,district,612162,Anantapur,28
Andhra Pradesh,2019,Q1,district,599422,Kurnool,28
Andhra Pradesh,2019,Q1,district,523372,West Godavari,28
Andhra Pradesh,2019,Q1,district,491908,Spsr Nellore,28
Andhra Pradesh,2019,Q1,district,474260,Prakasam,28
Andhra Pradesh,2019,Q1,pincode,100561,517501,28
Andhra Pradesh,2019,Q1,pincode,85980,517507,28
Andhra Pradesh,2019,Q1,pincode,77790,530016,28
Andhra Pradesh,2019,Q1,pincode,75171,515001,28
Andhra Pradesh,2019,Q1,pincode,68514,516001,28
Andhra Pradesh,2019,Q1,pincode,66689,518002,28
Andhra Pradesh,2019,Q1,pincode,61623,530026,28
Andhra Pradesh,2019,Q1,pincode,60798,516360,28
Andhra Pradesh,2019,Q1,pincode,59055,520010,28
Andhra Pradesh,2019,Q1,pincode,55931,524002,28
Andhra Pradesh,2019,Q2,district,1318740,Visakhapatnam,28
Andhra Pradesh,2019,Q2,district,952300,Krishna,28
Andhra Pradesh,2019,Q2,district,945181,East Godavari,28
Andhra Pradesh,2019,Q2,district,925491,Chittoor,28
Andhra Pradesh,2019,Q2,district,915256,Guntur,28
Andhra Pradesh,2019,Q2,district,695114,Anantapur,28
Andhra Pradesh,2019,Q2,district,680118,Kurnool,28
Andhra Pradesh,2019,Q2,district,592185,West Godavari,28
Andhra Pradesh,2019,Q2,district,558303,Spsr Nellore,28
Andhra Pradesh,2019,Q2,district,539462,Prakasam,28
Andhra Pradesh,2019,Q2,pincode,113033,517501,28
Andhra Pradesh,2019,Q2,pincode,97534,517507,28
Andhra Pradesh,2019,Q2,pincode,87556,530016,28
Andhra Pradesh,2019,Q2,pincode,84157,515001,28
Andhra Pradesh,2019,Q2,pincode,76617,516001,28
Andhra Pradesh,2019,Q2,pincode,75952,518002,28
Andhra Pradesh,2019,Q2,pincode,68283,530026,28
Andhra Pradesh,2019,Q2,pincode,66885,516360,28
Andhra Pradesh,2019,Q2,pincode,66082,520010,28
Andhra Pradesh,2019,Q2,pincode,62933,524002,28
Andhra Pradesh,2019,Q3,district,1460464,Visakhapatnam,28
Andhra Pradesh,2019,Q3,district,1066546,Krishna,28
Andhra Pradesh,2019,Q3,district,1057167,East Godavari,28
Andhra Pradesh,2019,Q3,district,1032733,Chittoor,28
Andhra Pradesh,2019,Q3,district,1026418,Guntur,28
Andhra Pradesh,2019,Q3,district,773656,Anantapur,28
Andhra Pradesh,2019,Q3,district,755024,Kurnool,28
Andhra Pradesh,2019,Q3,district,662102,West Godavari,28
Andhra Pradesh,2019,Q3,district,619592,Spsr Nellore,28
Andhra Pradesh,2019,Q3,district,598568,Prakasam,28
Andhra Pradesh,2019,Q3,pincode,124727,517501,28
Andhra Pradesh,2019,Q3,pincode,108199,517507,28
Andhra Pradesh,2019,Q3,pincode,97323,530016,28
Andhra Pradesh,2019,Q3,pincode,93191,515001,28
Andhra Pradesh,2019,Q3,pincode,84918,518002,28
Andhra Pradesh,2019,Q3,pincode,84693,516001,28
Andhra Pradesh,2019,Q3,pincode,74501,530026,28
Andhra Pradesh,2019,Q3,pincode,73267,516360,28
Andhra Pradesh,2019,Q3,pincode,72722,520010,28
Andhra Pradesh,2019,Q3,pincode,69783,524002,28
Andhra Pradesh,2019,Q4,district,1620235,Visakhapatnam,28
Andhra Pradesh,2019,Q4,district,1199971,Krishna,28
Andhra Pradesh,2019,Q4,district,1195228,East Godavari,28
Andhra Pradesh,2019,Q4,district,1158708,Guntur,28
Andhra Pradesh,2019,Q4,district,1156351,Chittoor,28
Andhra Pradesh,2019,Q4,district,873033,Anantapur,28
Andhra Pradesh,2019,Q4,district,846885,Kurnool,28
Andhra Pradesh,2019,Q4,district,750078,West Godavari,28
Andhra Pradesh,2019,Q4,district,697154,Spsr Nellore,28
Andhra Pradesh,2019,Q4,district,673522,Prakasam,28
Andhra Pradesh,2019,Q4,pincode,136436,517501,28
Andhra Pradesh,2019,Q4,pincode,119146,517507,28
Andhra Pradesh,2019,Q4,pincode,106404,530016,28
Andhra Pradesh,2019,Q4,pincode,102848,515001,28
Andhra Pradesh,2019,Q4,pincode,94209,516001,28
Andhra Pradesh,2019,Q4,pincode,94193,518002,28
Andhra Pradesh,2019,Q4,pincode,81619,516360,28
Andhra Pradesh,2019,Q4,pincode,81191,530026,28
Andhra Pradesh,2019,Q4,pincode,79453,520010,28
Andhra Pradesh,2019,Q4,pincode,77681,524002,28
Andhra Pradesh,2020,Q1,district,1763581,Visakhapatnam,28
Andhra Pradesh,2020,Q1,district,1331602,Krishna,28
Andhra Pradesh,2020,Q1,district,1329664,East Godavari,28
Andhra Pradesh,2020,Q1,district,1289678,Guntur,28
Andhra Pradesh,2020,Q1,district,1270907,Chittoor,28
Andhra Pradesh,2020,Q1,district,971850,Anantapur,28
Andhra Pradesh,2020,Q1,district,936293,Kurnool,28
Andhra Pradesh,2020,Q1,district,843835,West Godavari,28
Andhra Pradesh,2020,Q1,district,775440,Spsr Nellore,28
Andhra Pradesh,2020,Q1,district,748655,Prakasam,28
Andhra Pradesh,2020,Q1,pincode,146823,517501,28
Andhra Pradesh,2020,Q1,pincode,129214,517507,28
Andhra Pradesh,2020,Q1,pincode,114042,530016,28
Andhra Pradesh,2020,Q1,pincode,111359,515001,28
Andhra Pradesh,2020,Q1,pincode,102905,518002,28
Andhra Pradesh,2020,Q1,pincode,102893,516001,28
Andhra Pradesh,2020,Q1,pincode,89774,516360,28
Andhra Pradesh,2020,Q1,pincode,87449,530026,28
