,State,Year,Quater,District,Transaction_count,Transaction_amount,id
194,Andhra Pradesh,2020,Q3,Visakhapatnam District,34421299,67628440368.111465,28
195,Andhra Pradesh,2020,Q3,Prakasam District,12266310,31221704852.44969,28
196,Andhra Pradesh,2020,Q3,Anantapur District,14447683,34102037972.65785,28
197,Andhra Pradesh,2020,Q3,Ysr District,11934653,32037007334.12973,28
198,Andhra Pradesh,2020,Q3,West Godavari District,10412351,25408608725.75429,28
199,Andhra Pradesh,2020,Q3,Kurnool District,13243292,32529351107.17173,28
200,Andhra Pradesh,2020,Q3,Chittoor District,20501863,42811566246.16463,28
201,Andhra Pradesh,2020,Q3,Guntur District,17601395,42531195809.75448,28
202,Andhra Pradesh,2020,Q3,Krishna District,19110457,44788458672.08444,28
203,Andhra Pradesh,2020,Q4,East Godavari District,25989490,58732615663.118416,28
204,Andhra Pradesh,2020,Q4,Srikakulam District,11092184,25222520275.27882,28
205,Andhra Pradesh,2020,Q4,Spsr Nellore District,20934374,49115443663.37911,28
206,Andhra Pradesh,2020,Q4,Vizianagaram District,10580824,24094847668.445065,28
207,Andhra Pradesh,2020,Q4,Visakhapatnam District,46551467,91879823025.404,28
208,Andhra Pradesh,2020,Q4,Prakasam District,16176867,41852443493.5154,28
209,Andhra Pradesh,2020,Q4,Anantapur District,20996384,49732610814.26222,28
210,Andhra Pradesh,2020,Q4,Ysr District,15676878,42572974713.44026,28
211,Andhra Pradesh,2020,Q4,West Godavari District,15674762,40310975762.603455,28
212,Andhra Pradesh,2020,Q4,Kurnool District,18737323,44718203115.22612,28
213,Andhra Pradesh,2020,Q4,Chittoor District,29590411,61505711149.79541,28
214,Andhra Pradesh,2020,Q4,Guntur District,26136538,60641872021.25432,28
215,Andhra Pradesh,2020,Q4,Krishna District,27981050,64461504667.60723,28
216,Andhra Pradesh,2021,Q1,East Godavari District,26190701,60027984987.96951,28
217,Andhra Pradesh,2021,Q1,Srikakulam District,11160473,26486623313.092724,28
218,Andhra Pradesh,2021,Q1,Spsr Nellore District,22541428,52210333201.53073,28
219,Andhra Pradesh,2021,Q1,Vizianagaram District,10514582,24153782497.243248,28
220,Andhra Pradesh,2021,Q1,Visakhapatnam District,48248923,95308386037.8472,28
221,Andhra Pradesh,2021,Q1,Prakasam District,15175395,41396223622.17477,28
222,Andhra Pradesh,2021,Q1,Anantapur District,20102957,48353870395.01808,28
223,Andhra Pradesh,2021,Q1,Ysr District,15374473,42570919448.50447,28
224,Andhra Pradesh,2021,Q1,West Godavari District,16015685,42124030669.36126,28
225,Andhra Pradesh,2021,Q1,Kurnool District,17918524,44941629659.56964,28
226,Andhra Pradesh,2021,Q1,Chittoor District,29342609,60947491846.66089,28
227,Andhra Pradesh,2021,Q1,Guntur District,27445045,64207987853.108406,28
228,Andhra Pradesh,2021,Q1,Krishna District,29717175,69715406644.53485,28
229,Andhra Pradesh,2021,Q2,East Godavari District,31717908,74604325863.66068,28
230,Andhra Pradesh,2021,Q2,Srikakulam District,13546232,32298129544.540867,28
