,State,Year,Quater,District,Registered_user,App_opening,id
182,Andhra Pradesh,2020,Q2,Kurnool District,1035093,36268390,28
183,Andhra Pradesh,2020,Q2,Guntur District,1426271,44267596,28
184,Andhra Pradesh,2020,Q2,Krishna District,1459041,41234166,28
185,Andhra Pradesh,2020,Q2,Spsr Nellore District,854459,30816403,28
186,Andhra Pradesh,2020,Q2,Vizianagaram District,537798,24370380,28
187,Andhra Pradesh,2020,Q2,Ysr District,796769,29644037,28
188,Andhra Pradesh,2020,Q2,West Godavari District,944829,26583613,28
189,Andhra Pradesh,2020,Q2,Chittoor District,1385916,49820171,28
190,Andhra Pradesh,2020,Q3,East Godavari District,1601940,64292857,28
191,Andhra Pradesh,2020,Q3,Srikakulam District,667858,31794753,28
192,Andhra Pradesh,2020,Q3,Visakhapatnam District,2058346,102589371,28
193,Andhra Pradesh,2020,Q3,Prakasam District,915240,44970519,28
194,Andhra Pradesh,2020,Q3,Anantapur District,1186851,55714787,28
195,Andhra Pradesh,2020,Q3,Kurnool District,1132240,49164718,28
196,Andhra Pradesh,2020,Q3,Guntur District,1567595,62427501,28
197,Andhra Pradesh,2020,Q3,Krishna District,1599289,61028114,28
198,Andhra Pradesh,2020,Q3,Spsr Nellore District,937176,43951448,28
199,Andhra Pradesh,2020,Q3,Vizianagaram District,587784,31199437,28
200,Andhra Pradesh,2020,Q3,Ysr District,877909,41578067,28
201,Andhra Pradesh,2020,Q3,West Godavari District,1053674,38126238,28
202,Andhra Pradesh,2020,Q3,Chittoor District,1506503,69462572,28
203,Andhra Pradesh,2020,Q4,East Godavari District,1746280,82605352,28
204,Andhra Pradesh,2020,Q4,Srikakulam District,726761,36770992,28
205,Andhra Pradesh,2020,Q4,Visakhapatnam District,2209658,124730170,28
206,Andhra Pradesh,2020,Q4,Prakasam District,999462,52839846,28
207,Andhra Pradesh,2020,Q4,Anantapur District,1295872,69562398,28
208,Andhra Pradesh,2020,Q4,Kurnool District,1230466,60615045,28
209,Andhra Pradesh,2020,Q4,Guntur District,1712940,81291172,28
210,Andhra Pradesh,2020,Q4,Krishna District,1744028,81787771,28
