,State,Year,Quater,Transacion_type,Transacion_count,Transacion_amount,id
156,Andhra Pradesh,2020,Q4,Merchant Payments,86581460,66654048149.95168,28
157,Andhra Pradesh,2020,Q4,Recharge & Bill Payments,46810304,20936337211.557747,28
158,Andhra Pradesh,2020,Q4,Financial Services,265470,305168772.45601684,28
159,Andhra Pradesh,2020,Q4,Others,457527,306853355.59473807,28
160,Andhra Pradesh,2021,Q1,Peer To Peer Payments,149313738,580542193013.0018,28
161,Andhra Pradesh,2021,Q1,Merchant Payments,97920281,70813192713.43477,28
162,Andhra Pradesh,2021,Q1,Recharge & Bill Payments,41940689,20546424964.14482,28
163,Andhra Pradesh,2021,Q1,Financial Services,225355,270313028.48452014,28
164,Andhra Pradesh,2021,Q1,Others,347907,272546457.5502677,28
165,Andhra Pradesh,2021,Q2,Peer To Peer Payments,189614879,737004484057.439,28
166,Andhra Pradesh,2021,Q2,Merchant Payments,112875274,88512429436.91248,28
167,Andhra Pradesh,2021,Q2,Recharge & Bill Payments,49626902,24646800345.106976,28
168,Andhra Pradesh,2021,Q2,Financial Services,243237,265483044.40124667,28
169,Andhra Pradesh,2021,Q2,Others,406842,308302224.3856007,28
170,Andhra Pradesh,2021,Q3,Peer To Peer Payments,221280317,837841124664.307,28
171,Andhra Pradesh,2021,Q3,Merchant Payments,158290953,118164377968.16754,28
172,Andhra Pradesh,2021,Q3,Recharge & Bill Payments,51702350,27511344958.24361,28
173,Andhra Pradesh,2021,Q3,Financial Services,211171,297239697.83073866,28
174,Andhra Pradesh,2021,Q3,Others,547759,403948275.56756073,28
175,Andhra Pradesh,2021,Q4,Peer To Peer Payments,262006450,971269765249.1282,28
176,Andhra Pradesh,2021,Q4,Merchant Payments,207538904,152883933596.5386,28
177,Andhra Pradesh,2021,Q4,Recharge & Bill Payments,51762842,31232784713.985798,28
178,Andhra Pradesh,2021,Q4,Financial Services,243951,332740108.6635881,28
179,Andhra Pradesh,2021,Q4,Others,701856,545223415.6638832,28
180,Andhra Pradesh,2022,Q1,Peer To Peer Payments,288488560,1089629182596.478,28
181,Andhra Pradesh,2022,Q1,Merchant Payments,242031836,169419685917.19562,28
182,Andhra Pradesh,2022,Q1,Recharge & Bill Payments,51224170,34473036841.83001,28
183,Andhra Pradesh,2022,Q1,Financial Services,231651,324358965.11859065,28
184,Andhra Pradesh,2022,Q1,Others,627694,474382234.25397474,28
185,Andhra Pradesh,2022,Q2,Peer To Peer Payments,321362337,1231408926513.7114,28
186,Andhra Pradesh,2022,Q2,Merchant Payments,292530048,205433660654.20895,28
187,Andhra Pradesh,2022,Q2,Recharge & Bill Payments,56606969,42408541939.06145,28
188,Andhra Pradesh,2022,Q2,Financial Services,192751,245783011.04455265,28
189,Andhra Pradesh,2022,Q2,Others,441925,357036084.9071137,28
190,Andhra Pradesh,2022,Q3,Peer To Peer Payments,298804000,1140164525892.7395,28
191,Andhra Pradesh,2022,Q3,Merchant Payments,291033653,202910820650.0824,28
192,Andhra Pradesh,2022,Q3,Recharge & Bill Payments,52467708,41438764826.20322,28
193,Andhra Pradesh,2022,Q3,Financial Services,187190,239347241.54655045,28
194,Andhra Pradesh,2022,Q3,Others,362484,323951101.5715289,28
195,Andhra Pradesh,2022,Q4,Merchant Payments,321632104,211898851397.09848,28
196,Andhra Pradesh,2022,Q4,Peer To Peer Payments,315734006,1170249585983.0112,28
197,Andhra Pradesh,2022,Q4,Recharge & Bill Payments,52098850,41986837706.47902,28
198,Andhra Pradesh,2022,Q4,Financial Services,206459,250596592.06465048,28
199,Andhra Pradesh,2022,Q4,Others,345658,339211363.0027188,28
200,Arunanchal Pradesh,2018,Q1,Recharge & Bill Payments,28729,5184132.514934338,12
201,Arunanchal Pradesh,2018,Q1,Peer To Peer Payments,13320,82889682.72418305,12
202,Arunanchal Pradesh,2018,Q1,Merchant Payments,1042,2420374.1905855755,12
203,Arunanchal Pradesh,2018,Q1,Financial Services,416,58893.76201533088,12
204,Arunanchal Pradesh,2018,Q1,Others,1990,1834252.817690888,12
205,Arunanchal Pradesh,2018,Q2,Recharge & Bill Payments,50700,10468878.537107185,12
206,Arunanchal Pradesh,2018,Q2,Peer To Peer Payments,26477,181576281.19464755,12
207,Arunanchal Pradesh,2018,Q2,Merchant Payments,2378,4718953.439561011,12
208,Arunanchal Pradesh,2018,Q2,Financial Services,559,363761.801595492,12
209,Arunanchal Pradesh,2018,Q2,Others,2043,1842317.369135248,12
210,Arunanchal Pradesh,2018,Q3,Recharge & Bill Payments,74122,15997565.906016495,12
211,Arunanchal Pradesh,2018,Q3,Peer To Peer Payments,49740,308106303.45342577,12
212,Arunanchal Pradesh,2018,Q3,Merchant Payments,4738,5505694.567913429,12
213,Arunanchal Pradesh,2018,Q3,Financial Services,507,72133.845254878,12
214,Arunanchal Pradesh,2018,Q3,Others,2039,2044708.9687807967,12
215,Arunanchal Pradesh,2018,Q4,Recharge & Bill Payments,97751,20662691.88231328,12
216,Arunanchal Pradesh,2018,Q4,Peer To Peer Payments,68169,468831493.2328036,12
217,Arunanchal Pradesh,2018,Q4,Merchant Payments,7726,11998974.1040326,12
218,Arunanchal Pradesh,2018,Q4,Financial Services,561,100597.90379906222,12
219,Arunanchal Pradesh,2018,Q4,Others,2222,2446271.9688117937,12
220,Arunanchal Pradesh,2019,Q1,Recharge & Bill Payments,121303,26796894.998233315,12
221,Arunanchal Pradesh,2019,Q1,Peer To Peer Payments,93494,568554821.4456317,12
222,Arunanchal Pradesh,2019,Q1,Merchant Payments,9214,11727218.401334248,12
223,Arunanchal Pradesh,2019,Q1,Financial Services,256,140622.87093631705,12
224,Arunanchal Pradesh,2019,Q1,Others,2239,2730548.597814082,12
225,Arunanchal Pradesh,2019,Q2,Recharge & Bill Payments,131988,30420803.41271234,12
226,Arunanchal Pradesh,2019,Q2,Peer To Peer Payments,106527,704237943.4054435,12
227,Arunanchal Pradesh,2019,Q2,Merchant Payments,16828,13955724.130712911,12
228,Arunanchal Pradesh,2019,Q2,Financial Services,267,160660.8821362781,12
229,Arunanchal Pradesh,2019,Q2,Others,3046,3880742.524023137,12
230,Arunanchal Pradesh,2019,Q3,Recharge & Bill Payments,216228,50946104.94289842,12
231,Arunanchal Pradesh,2019,Q3,Peer To Peer Payments,133484,841037395.2474606,12
232,Arunanchal Pradesh,2019,Q3,Merchant Payments,16900,17178248.07427002,12
233,Arunanchal Pradesh,2019,Q3,Financial Services,864,64089.11350267195,12
234,Arunanchal Pradesh,2019,Q3,Others,2758,3419197.4177385764,12
235,Arunanchal Pradesh,2019,Q4,Recharge & Bill Payments,259183,63516906.09060433,12
236,Arunanchal Pradesh,2019,Q4,Peer To Peer Payments,177833,1100137447.9340453,12
237,Arunanchal Pradesh,2019,Q4,Merchant Payments,19769,23192271.69157681,12
238,Arunanchal Pradesh,2019,Q4,Financial Services,314,305379.7987782319,12
239,Arunanchal Pradesh,2019,Q4,Others,2376,3421174.01227797,12
240,Arunanchal Pradesh,2020,Q1,Recharge & Bill Payments,329834,86011654.77474582,12
241,Arunanchal Pradesh,2020,Q1,Peer To Peer Payments,203429,1263912288.4066367,12
242,Arunanchal Pradesh,2020,Q1,Merchant Payments,31181,28553052.1339188,12
243,Arunanchal Pradesh,2020,Q1,Financial Services,470,337812.948161694,12
244,Arunanchal Pradesh,2020,Q1,Others,2261,2943873.066683824,12
245,Arunanchal Pradesh,2020,Q2,Recharge & Bill Payments,522495,145198528.22961134,12
246,Arunanchal Pradesh,2020,Q2,Peer To Peer Payments,247861,1630654426.0441835,12
247,Arunanchal Pradesh,2020,Q2,Merchant Payments,35169,46446966.61244752,12
248,Arunanchal Pradesh,2020,Q2,Financial Services,1310,2655507.6964110374,12
249,Arunanchal Pradesh,2020,Q2,Others,1939,1761404.4023099935,12
250,Arunanchal Pradesh,2020,Q3,Recharge & Bill Payments,514907,153463816.21184397,12
251,Arunanchal Pradesh,2020,Q3,Peer To Peer Payments,370418,2361603431.37578,12
252,Arunanchal Pradesh,2020,Q3,Merchant Payments,72736,88145178.69272713,12
253,Arunanchal Pradesh,2020,Q3,Financial Services,1761,4030599.9171272414,12
254,Arunanchal Pradesh,2020,Q3,Others,3005,2695539.3607389224,12
255,Arunanchal Pradesh,2020,Q4,Peer To Peer Payments,522019,3254744938.4105625,12
256,Arunanchal Pradesh,2020,Q4,Recharge & Bill Payments,513895,152389181.21743062,12
257,Arunanchal Pradesh,2020,Q4,Merchant Payments,167387,156682926.02384603,12
258,Arunanchal Pradesh,2020,Q4,Financial Services,1749,2391651.8783250954,12
259,Arunanchal Pradesh,2020,Q4,Others,4079,4055324.315454754,12
260,Arunanchal Pradesh,2021,Q1,Peer To Peer Payments,566209,3460488558.9436507,12
261,Arunanchal Pradesh,2021,Q1,Recharge & Bill Payments,450649,142358376.9003836,12
262,Arunanchal Pradesh,2021,Q1,Merchant Payments,155966,204958020.0891498,12
263,Arunanchal Pradesh,2021,Q1,Financial Services,1558,2672460.4740365944,12
264,Arunanchal Pradesh,2021,Q1,Others,3074,3301662.609423133,12
265,Arunanchal Pradesh,2021,Q2,Peer To Peer Payments,762946,4000960152.0755496,12
266,Arunanchal Pradesh,2021,Q2,Recharge & Bill Payments,556680,165579844.25105897,12
267,Arunanchal Pradesh,2021,Q2,Merchant Payments,243375,283709438.5363142,12
268,Arunanchal Pradesh,2021,Q2,Financial Services,1582,2761076.7934988844,12
269,Arunanchal Pradesh,2021,Q2,Others,3755,3415105.337960117,12
270,Arunanchal Pradesh,2021,Q3,Peer To Peer Payments,986088,5033603845.032885,12
271,Arunanchal Pradesh,2021,Q3,Recharge & Bill Payments,600102,187390578.30403772,12
272,Arunanchal Pradesh,2021,Q3,Merchant Payments,314658,449869060.7842621,12
273,Arunanchal Pradesh,2021,Q3,Financial Services,1934,3348547.8272713376,12
274,Arunanchal Pradesh,2021,Q3,Others,4185,3912143.3503634185,12
275,Arunanchal Pradesh,2021,Q4,Peer To Peer Payments,1227616,6022733378.120082,12
276,Arunanchal Pradesh,2021,Q4,Recharge & Bill Payments,633248,207784816.33218512,12
277,Arunanchal Pradesh,2021,Q4,Merchant Payments,521447,704195694.9939187,12
278,Arunanchal Pradesh,2021,Q4,Financial Services,2386,3933557.2795471298,12
279,Arunanchal Pradesh,2021,Q4,Others,5901,4862905.885615055,12
280,Arunanchal Pradesh,2022,Q1,Peer To Peer Payments,1403584,6670641250.45945,12
281,Arunanchal Pradesh,2022,Q1,Merchant Payments,720803,917155358.717718,12
282,Arunanchal Pradesh,2022,Q1,Recharge & Bill Payments,670576,231933129.00412333,12
283,Arunanchal Pradesh,2022,Q1,Financial Services,3053,3359625.792926075,12
284,Arunanchal Pradesh,2022,Q1,Others,6052,5002264.113148138,12
285,Arunanchal Pradesh,2022,Q2,Peer To Peer Payments,1751568,7627061474.687715,12
286,Arunanchal Pradesh,2022,Q2,Merchant Payments,1108353,1255513517.3639429,12
287,Arunanchal Pradesh,2022,Q2,Recharge & Bill Payments,688770,241162643.1948016,12
288,Arunanchal Pradesh,2022,Q2,Financial Services,2466,4063469.0998270046,12
289,Arunanchal Pradesh,2022,Q2,Others,5768,3864269.879579009,12
290,Arunanchal Pradesh,2022,Q3,Peer To Peer Payments,1967086,7365427284.274204,12
291,Arunanchal Pradesh,2022,Q3,Merchant Payments,1316326,1413247143.4889915,12
292,Arunanchal Pradesh,2022,Q3,Recharge & Bill Payments,649322,238448083.80779752,12
293,Arunanchal Pradesh,2022,Q3,Financial Services,1997,4763324.776043448,12
294,Arunanchal Pradesh,2022,Q3,Others,4687,3224948.7015704075,12
295,Arunanchal Pradesh,2022,Q4,Peer To Peer Payments,2251135,7768088687.67791,12
296,Arunanchal Pradesh,2022,Q4,Merchant Payments,1704968,1669602212.9174638,12
297,Arunanchal Pradesh,2022,Q4,Recharge & Bill Payments,669151,239412553.61214688,12
298,Arunanchal Pradesh,2022,Q4,Financial Services,2617,3785469.399336656,12
299,Arunanchal Pradesh,2022,Q4,Others,4838,4020773.895396032,12
300,Assam,2018,Q1,Recharge & Bill Payments,632092,93491181.1405638,18
301,Assam,2018,Q1,Peer To Peer Payments,318025,993525195.9818656,18
302,Assam,2018,Q1,Merchant Payments,40482,34501622.89266755,18
303,Assam,2018,Q1,Financial Services,18172,4936862.200688562,18
304,Assam,2018,Q1,Others,48110,31349593.99668264,18
305,Assam,2018,Q2,Recharge & Bill Payments,984160,174427478.21340805,18
306,Assam,2018,Q2,Peer To Peer Payments,530781,2064314053.1339967,18
307,Assam,2018,Q2,Merchant Payments,79307,73366344.80739225,18
308,Assam,2018,Q2,Financial Services,22773,7051504.657611102,18
309,Assam,2018,Q2,Others,46852,31425754.725386057,18
310,Assam,2018,Q3,Recharge & Bill Payments,1275136,254569069.32411745,18
311,Assam,2018,Q3,Peer To Peer Payments,843571,3424136709.5088205,18
312,Assam,2018,Q3,Merchant Payments,159532,96783839.37466942,18
313,Assam,2018,Q3,Financial Services,22677,4741123.821880115,18
314,Assam,2018,Q3,Others,50935,30904247.88478589,18
315,Assam,2018,Q4,Recharge & Bill Payments,1703488,317661277.3470997,18
316,Assam,2018,Q4,Peer To Peer Payments,1279089,5284776455.070784,18
317,Assam,2018,Q4,Merchant Payments,667293,240563395.2777939,18
318,Assam,2018,Q4,Financial Services,28035,6331912.52655252,18
319,Assam,2018,Q4,Others,56267,38689818.79087821,18
320,Assam,2019,Q1,Recharge & Bill Payments,1993220,400281677.94382846,18
321,Assam,2019,Q1,Peer To Peer Payments,1976310,7291433300.700247,18
322,Assam,2019,Q1,Merchant Payments,494871,266644645.74929428,18
323,Assam,2019,Q1,Financial Services,20162,4612454.1127945455,18
324,Assam,2019,Q1,Others,48442,39127457.94468764,18
325,Assam,2019,Q2,Recharge & Bill Payments,2512932,539315772.8606573,18
326,Assam,2019,Q2,Peer To Peer Payments,2293770,10035232820.852964,18
327,Assam,2019,Q2,Merchant Payments,573646,326844709.5879724,18
328,Assam,2019,Q2,Financial Services,13654,4037222.414240564,18
329,Assam,2019,Q2,Others,60927,49538663.41037582,18
330,Assam,2019,Q3,Peer To Peer Payments,2713539,11835800855.176552,18
331,Assam,2019,Q3,Recharge & Bill Payments,2645302,639885372.7480905,18
332,Assam,2019,Q3,Merchant Payments,513728,421380275.4207429,18
333,Assam,2019,Q3,Financial Services,8606,6403456.344768786,18
